# x   Uyexact
# built with nelem = 128 by copy paste from output of calc-velocity-profile-exact.py
0.0     0.0
0.0078125     0.0028462409973144536
0.015625     0.0056556701660156255
0.0234375     0.008428096771240234
0.03125     0.011163330078125
0.0390625     0.01386117935180664
0.046875     0.016521453857421875
0.0546875     0.019143962860107423
0.0625     0.021728515625000003
0.0703125     0.02427492141723633
0.078125     0.026782989501953125
0.0859375     0.029252529144287116
0.09375     0.031683349609375
0.1015625     0.034075260162353516
0.109375     0.03642807006835938
0.1171875     0.0387415885925293
0.125     0.041015625
0.1328125     0.04324998855590821
0.140625     0.04544448852539063
0.1484375     0.04759893417358399
0.15625     0.049713134765625
0.1640625     0.05178689956665039
0.171875     0.05382003784179689
0.1796875     0.05581235885620117
0.1875     0.057763671875000006
0.1953125     0.059673786163330085
0.203125     0.061542510986328125
0.2109375     0.06336965560913087
0.21875     0.065155029296875
0.2265625     0.06689844131469727
0.234375     0.06859970092773438
0.2421875     0.07025861740112305
0.25     0.07187500000000001
0.2578125     0.07344865798950197
0.265625     0.07497940063476563
0.2734375     0.07646703720092773
0.28125     0.077911376953125
0.2890625     0.07931222915649415
0.296875     0.08066940307617189
0.3046875     0.08198270797729494
0.3125     0.083251953125
0.3203125     0.08447694778442383
0.328125     0.08565750122070313
0.3359375     0.08679342269897462
0.34375     0.08788452148437503
0.3515625     0.08893060684204104
0.359375     0.08993148803710938
0.3671875     0.0908869743347168
0.375     0.09179687500000001
0.3828125     0.09266099929809572
0.390625     0.09347915649414065
0.3984375     0.09425115585327148
0.40625     0.094976806640625
0.4140625     0.09565591812133789
0.421875     0.09628829956054688
0.4296875     0.09687376022338867
0.4375     0.09741210937500001
0.4453125     0.0979031562805176
0.453125     0.09834671020507815
0.4609375     0.09874258041381839
0.46875     0.099090576171875
0.4765625     0.0993905067443848
0.484375     0.09964218139648438
0.4921875     0.09984540939331059
0.5     0.10000000000000002
0.5078125     0.10010576248168944
0.515625     0.10016250610351565
0.5234375     0.10017004013061523
0.53125     0.10012817382812503
0.5390625     0.10003671646118165
0.546875     0.09989547729492189
0.5546875     0.09970426559448244
0.5625     0.09946289062500001
0.5703125     0.09917116165161134
0.578125     0.09882888793945316
0.5859375     0.09843587875366211
0.59375     0.09799194335937503
0.6015625     0.09749689102172852
0.609375     0.0969505310058594
0.6171875     0.0963526725769043
0.625     0.095703125
0.6328125     0.09500169754028323
0.640625     0.09424819946289062
0.6484375     0.09344244003295901
0.65625     0.09258422851562503
0.6640625     0.09167337417602542
0.671875     0.0907096862792969
0.6796875     0.0896929740905762
0.6875     0.08862304687500006
0.6953125     0.08749971389770508
0.703125     0.08632278442382818
0.7109375     0.08509206771850589
0.71875     0.08380737304687502
0.7265625     0.0824685096740723
0.734375     0.08107528686523441
0.7421875     0.07962751388549807
0.75     0.07812500000000003
0.7578125     0.07656755447387698
0.765625     0.07495498657226565
0.7734375     0.07328710556030277
0.78125     0.07156372070312503
0.7890625     0.0697846412658692
0.796875     0.06794967651367187
0.8046875     0.06605863571166998
0.8125     0.064111328125
0.8203125     0.062107563018798884
0.828125     0.06004714965820315
0.8359375     0.05792989730834963
0.84375     0.055755615234375
0.8515625     0.05352411270141605
0.859375     0.051235198974609375
0.8671875     0.04888868331909185
0.875     0.04648437500000002
0.8828125     0.04402208328247076
0.890625     0.04150161743164066
0.8984375     0.03892278671264654
0.90625     0.036285400390625056
0.9140625     0.03358926773071291
0.921875     0.03083419799804693
0.9296875     0.02802000045776365
0.9375     0.025146484375
0.9453125     0.022213459014892634
0.953125     0.019220733642578203
0.9609375     0.01616811752319336
0.96875     0.013055419921874978
0.9765625     0.009882450103759766
0.984375     0.0066490173339844305
0.9921875     0.003354930877685569
1.0     5.551115123125783e-17
