# x   Uynumeric
# built copy paste from output of calc-velocity-profile-numeric.py
0.0     0.0
0.0625     0.021850067633093297
0.125     0.041244205819942766
0.1875     0.058085324280368535
0.25     0.07227629776170559
0.3125     0.08371973788497217
0.375     0.09231792153454292
0.43750000000000006     0.09797273090531743
0.5     0.10058560354202697
0.5625     0.10005750569353164
0.625     0.09628892232068173
0.6875     0.08917986542309989
0.75     0.07862990401559698
0.8125     0.06453820742743938
0.8750000000000001     0.04680361524731926
0.9375     0.02532470060689915
1.0     0.0
